ልማርክባችሁ ልእምኣርእክእብኣችእህኡ
ብሰብር ብእስኧብእርእ
ተወቅሰዋል ትኧውኧቅእስኧውኣልእ
ስራዎቿን ስእርኣውኦቿንእ
ሰበራችሁብን ስኧብኧርኣችእህኡብእንእ
ባልተረጋጋ ብኣልእትኧርኧግኣግኣ
ከበቃው ክኧብኧቅኣውእ
ልማርክው ልእምኣርእክእውእ
ከቄስ ክኧቅኤስእ
ለሶማሌያ ልኧስኦምኣልኤይኣ
ኣልሰበራችሁ እኣልእስኧብኧርኣችእህኡ
የምታደርግላት ይኧምእትኣድኧርእግእልኣትእ
ሊያሠለጥናቸው ልኢይኣሥኧልኧጥእንኣችኧውእ
መለቅለቅ ምኧልኧቅእልኧቅእ
የሴት ይኧስኤትእ
ከህጎች ክኧህእግኦችእ
ማረክነዎታል ምኣርኧክእንኧውኦትኣልእ
አደሩም እኧድኧርኡምእ
ግዥና ግእዥእንኣ
ልጆቹ ልእጅኦችኡ
መጎልበትና ምኧግኦልእብኧትእንኣ
እንዲቀጥል እእንእድኢቅኧጥእልእ
መከራችሁን ምኧክኧርኣችእህኡንእ
ሰብሬያት ስኧብእርኤይኣትእ
እንደሰበርንዎት እእንእድኧስኧብኧርእንእውኦትእ
በርህራሄ ብኧርእህእርኣህኤ
ልማርክችሁ ልእምኣርእክእችእህኡ
እንሰብራታለን እእንእስኧብእርኣትኣልኧንእ
እንደንማርከው እእንእድኧንእምኣርእክኧውእ
የጠበቀ ይኧጥኧብኧቅኧ
ካሜላን ክኣምኤልኣንእ
እንደማረከዎት እእንእድኧምኣርኧክኧውኦትእ
ስንማርከን ስእንእምኣርእክኧንእ
የተቋሞቹን ይኧትኧቋምኦችኡንእ
እስከምማረካት እእስእክኧምእምኣርኧክኣትእ
እንድምማርክ እእንእድእምእምኣርእክእ
ስፒትስበርገን ስእፕኢትእስእብኧርእግኧንእ
ቤተሠቦችና ብኤትኧሥኧብኦችእንኣ
ካዘኑ ክኣዝኧንኡ
በነብርና ብኧንኧብእርእንኣ
ሊቆም ልኢቅኦምእ
ለሰበርኩህ ልኧስኧብኧርእክኡህእ
የካይሮው ይኧክኣይእርኦውእ
ጥርጣሬያቸውን ጥእርእጥኣርኤይኣችኧውእንእ
ከሰበርከን ክኧስኧብኧርእክኧንእ
ብትሰብረው ብእትእስኧብእርኧውእ
ማረኬያታለሁ ምኣርኧክኤይኣትኣልኧህኡ
ህዝባዊነትን ህእዝእብኣውኢንኧትእንእ
ከማመቻቸት ክኧምኣምኧችኣችኧትእ
ለሚደረገው ልኧምኢድኧርኧግኧውእ
ኣልሰበርኩ እኣልእስኧብኧርእክኡ
የለም ይኧልኧምእ
ለማርከን ልኧምኣርእክኧንእ
ቀዳጆች ቅኧድኣጅኦችእ
ለመቅዳት ልኧምኧቅእድኣትእ
ከምማርክለዎት ክኧምእምኣርእክእልኧውኦትእ
ለሰበርኩት ልኧስኧብኧርእክኡትእ
አባሎችም እኧብኣልኦችእምእ
