ኣልሰባብራችሁ እኣልእስኧብኣብእርኣችእህኡ
ለሰበራችሁ ልኧስኧብኧርኣችእህኡ
እስክትሰባብሩዋቸው እእስእክእትእስኧብኣብእርኡውኣችኧውእ
ኣንሰብርሽም እኣንእስኧብእርእሽእምእ
እንሰባብራለን እእንእስኧብኣብእርኣልኧንእ
ስንሰባብርሽ ስእንእስኧብኣብእርእሽእ
ከሰበርኩ ክኧስኧብኧርእክኡ
ስሰባብርህ ስእስኧብኣብእርእህእ
ከምትሰባብሪን ክኧምእትእስኧብኣብእርኢንእ
ከምሰብራት ክኧምእስኧብእርኣትእ
ኣትስበሪ እኣትእስእብኧርኢ
ብንሰብርዎት ብእንእስኧብእርእውኦትእ
ሰባብረኝ ስኧብኣብእርኧኝእ
ሰበርኩብዎት ስኧብኧርእክኡብእውኦትእ
ስንሰብራቸው ስእንእስኧብእርኣችኧውእ
ብሰባብራት ብእስኧብኣብእርኣትእ
ኣትስበሩ እኣትእስእብኧርኡ
ከሰበርሽ ክኧስኧብኧርእሽእ
ኣልሰበራችኋቸው እኣልእስኧብኧርኣችእኋችኧውእ
ከምሰብርህ ክኧምእስኧብእርእህእ
ብትሰብሩን ብእትእስኧብእርኡንእ
እስክትሰባብሩን እእስእክእትእስኧብኣብእርኡንእ
ሰብሬላችሁ ስኧብእርኤልኣችእህኡ
ከምትሰብራቸው ክኧምእትእስኧብእርኣችኧውእ
ከምንሰብርብዎት ክኧምእንእስኧብእርእብእውኦትእ
ሰበርኩለት ስኧብኧርእክኡልኧትእ
ለሰበርካት ልኧስኧብኧርእክኣትእ
ኣትሰብሪው እኣትእስኧብእርኢውእ
ለሰበርኩዋቸው ልኧስኧብኧርእክኡውኣችኧውእ
እስክትሰብሩዋቸው እእስእክእትእስኧብእርኡውኣችኧውእ
እንሰብርሻለን እእንእስኧብእርእሽኣልኧንእ
ኣልሰበርልህ እኣልእስኧብኧርእልእህእ
ከሰበርከኝ ክኧስኧብኧርእክኧኝእ
ከምሰብርባችሁ ክኧምእስኧብእርእብኣችእህኡ
ከምንሰብርለት ክኧምእንእስኧብእርእልኧትእ
ሰባብሬዎት ስኧብኣብእርኤውኦትእ
እሰባብራቸዋለሁ እእስኧብኣብእርኣችኧውኣልኧህኡ
ስበሪልን ስእብኧርኢልእንእ
እንስበርልህ እእንእስእብኧርእልእህእ
ከምትሰብሪኝ ክኧምእትእስኧብእርኢኝእ
ስትሰብሪያት ስእትእስኧብእርኢይኣትእ
ስሰባብራቸው ስእስኧብኣብእርኣችኧውእ
እንሰብራታለን እእንእስኧብእርኣትኣልኧንእ
እንሰባብርዎታለን እእንእስኧብኣብእርእውኦትኣልኧንእ
ከምትሰብራት ክኧምእትእስኧብእርኣትእ
ኣትሰባብሪያት እኣትእስኧብኣብእርኢይኣትእ
እስክንሰብርላቸው እእስእክእንእስኧብእርእልኣችኧውእ
ስትሰባብረኝ ስእትእስኧብኣብእርኧኝእ
እንደሰበርሽኝ እእንእድኧስኧብኧርእሽእኝእ
ስትሰባብሩኝ ስእትእስኧብኣብእርኡኝእ
ስበሪለት ስእብኧርኢልኧትእ
ስትሰባብራቸው ስእትእስኧብኣብእርኣችኧውእ
ከምሰብርብሽ ክኧምእስኧብእርእብእሽእ
ኣልሰበርንህ እኣልእስኧብኧርእንእህእ
እንሰባብራችኋለን እእንእስኧብኣብእርኣችእኋልኧንእ
ብሰብራችሁ ብእስኧብእርኣችእህኡ
ትሰብሪኛለሽ ትእስኧብእርኢኝኣልኧሽእ
እሰብራቹዋለሁ እእስኧብእርኣችኡውኣልኧህኡ
ሰብረናችሁ ስኧብእርኧንኣችእህኡ
ኣትሰባብሯት እኣትእስኧብኣብእሯትእ
ኣትሰብሩኝም እኣትእስኧብእርኡኝእምእ
እንድትሰብረው እእንእድእትእስኧብእርኧውእ
ሰብረንብዎት ስኧብእርኧንእብእውኦትእ
ትሰባብሪያቸዋለሽ ትእስኧብኣብእርኢይኣችኧውኣልኧሽእ
ስትሰባብሪ ስእትእስኧብኣብእርኢ
ከሰበርኩህ ክኧስኧብኧርእክኡህእ
እስክሰብርሎት እእስእክእስኧብእርእልኦትእ
ሰብሬዎታለሁ ስኧብእርኤውኦትኣልኧህኡ
ኣትሰባብሪውም እኣትእስኧብኣብእርኢውእምእ
ስበርለት ስእብኧርእልኧትእ
እንድትሰባብረኝ እእንእድእትእስኧብኣብእርኧኝእ
ልትሰብራቸው ልእትእስኧብእርኣችኧውእ
ሰበርኩሽ ስኧብኧርእክኡሽእ
ስንሰብርህ ስእንእስኧብእርእህእ
ስንሰባብረው ስእንእስኧብኣብእርኧውእ
ለሰበርኩኣችሁ ልኧስኧብኧርእክኡእኣችእህኡ
ኣይሰበርልሽ እኣይእስኧብኧርእልእሽእ
ልትሰብሩኝ ልእትእስኧብእርኡኝእ
ስበሩላት ስእብኧርኡልኣትእ
ሰብረንባቸው ስኧብእርኧንእብኣችኧውእ
ኣትስበሪያት እኣትእስእብኧርኢይኣትእ
እስክትሰብርብን እእስእክእትእስኧብእርእብእንእ
ኣትስበሯት እኣትእስእብኧሯትእ
እንደሰበርሽው እእንእድኧስኧብኧርእሽእውእ
ስንሰብረው ስእንእስኧብእርኧውእ
ለሰበራችኋት ልኧስኧብኧርኣችእኋትእ
ከምትሰብረን ክኧምእትእስኧብእርኧንእ
እስክንሰብርባቸው እእስእክእንእስኧብእርእብኣችኧውእ
ስትሰባብሩን ስእትእስኧብኣብእርኡንእ
እንስበርላት እእንእስእብኧርእልኣትእ
ከምንሰብርብህ ክኧምእንእስኧብእርእብእህእ
ኣትሰብሪኝ እኣትእስኧብእርኢኝእ
ከምትሰብሪልን ክኧምእትእስኧብእርኢልእንእ
ለሰበርንሽ ልኧስኧብኧርእንእሽእ
ሰብረሀዋል ስኧብእርኧህኧውኣልእ
ስበሩት ስእብኧርኡትእ
ሰባብረሽን ስኧብኣብእርኧሽእንእ
ብንሰብር ብእንእስኧብእርእ
እስክትሰብራት እእስእክእትእስኧብእርኣትእ
ከሰበርነው ክኧስኧብኧርእንኧውእ
እንሰባብራቸዋለን እእንእስኧብኣብእርኣችኧውኣልኧንእ
ሰብረሽላቸው ስኧብእርኧሽእልኣችኧውእ
ብትሰባብራት ብእትእስኧብኣብእርኣትእ
ብትሰባብሪ ብእትእስኧብኣብእርኢ
ሰብረሃት ስኧብእርኧህኣትእ
ስበርባቸው ስእብኧርእብኣችኧውእ
ሰባብሬህ ስኧብኣብእርኤህእ
ልትሰብሪን ልእትእስኧብእርኢንእ
እስክትሰባብረው እእስእክእትእስኧብኣብእርኧውእ
ስትሰባብሪን ስእትእስኧብኣብእርኢንእ
ስትሰባብረን ስእትእስኧብኣብእርኧንእ
ብሰባብረው ብእስኧብኣብእርኧውእ
ሰብረሽበት ስኧብእርኧሽእብኧትእ
ሰብራችኋቸዋል ስኧብእርኣችእኋችኧውኣልእ
ለሰበርናቸው ልኧስኧብኧርእንኣችኧውእ
እንደሰበራት እእንእድኧስኧብኧርኣትእ
ስበሩን ስእብኧርኡንእ
ስበሪኝ ስእብኧርኢኝእ
ኣትሰባብሪኝም እኣትእስኧብኣብእርኢኝእምእ
እስክንሰብርልዎት እእስእክእንእስኧብእርእልእውኦትእ
እንደሰበርናት እእንእድኧስኧብኧርእንኣትእ
ኣትሰባብሩሯም እኣትእስኧብኣብእርኡሯምእ
ትሰባብራቸዋለህ ትእስኧብኣብእርኣችኧውኣልኧህእ
ከምትሰብሪላት ክኧምእትእስኧብእርኢልኣትእ
ብትሰባብሪን ብእትእስኧብኣብእርኢንእ
ብትሰብሩኝ ብእትእስኧብእርኡኝእ
ስትሰብሩት ስእትእስኧብእርኡትእ
እንሰባብርሻለን እእንእስኧብኣብእርእሽኣልኧንእ
ከምንሰብራችሁ ክኧምእንእስኧብእርኣችእህኡ
ስበር ስእብኧርእ
ስትሰባብሪው ስእትእስኧብኣብእርኢውእ
ከምትሰብሩላቸው ክኧምእትእስኧብእርኡልኣችኧውእ
ሰባብሬያቸው ስኧብኣብእርኤይኣችኧውእ
ኣልሰበርናት እኣልእስኧብኧርእንኣትእ
ብትሰባብሪያቸው ብእትእስኧብኣብእርኢይኣችኧውእ
ኣትሰብራቸው እኣትእስኧብእርኣችኧውእ
ሰበርሽብኝ ስኧብኧርእሽእብእኝእ
እስክትሰብሪልኝ እእስእክእትእስኧብእርኢልእኝእ
እስክትሰብሪባቸው እእስእክእትእስኧብእርኢብኣችኧውእ
ለሰበራችሁት ልኧስኧብኧርኣችእህኡትእ
ሰብሬዋለሁ ስኧብእርኤውኣልኧህኡ
አንድሰብራት እኧንእድእስኧብእርኣትእ
ከምሰብርላቸው ክኧምእስኧብእርእልኣችኧውእ
ኣይሰበሩልህ እኣይእስኧብኧርኡልእህእ
ሰብረህ ስኧብእርኧህእ
ሰበርን ስኧብኧርእንእ
እንስበርልዎት እእንእስእብኧርእልእውኦትእ
ሰብረህልኝ ስኧብእርኧህእልእኝእ
ሰበርካቸው ስኧብኧርእክኣችኧውእ
ከሰበርንህ ክኧስኧብኧርእንእህእ
ኣልሰባብርህ እኣልእስኧብኣብእርእህእ
ሰባብረናት ስኧብኣብእርኧንኣትእ
እስክትሰብሪያቸው እእስእክእትእስኧብእርኢይኣችኧውእ
