እንደሚሰጠውም እእንእድኧምኢስኧጥኧውእምእ
ካጠራቀምን ክኣጥኧርኣቅኧምእንእ
ስበርባቸው ስእብኧርእብኣችኧውእ
ዲፕሎማሲያዊ ድኢፕእልኦምኣስኢይኣውኢ
በሲናና ብኧስኢንኣንኣ
በብዕራቸው ብኧብእዕእርኣችኧውእ
ይጠራጠር ይእጥኧርኣጥኧርእ
እናዳክማለን እእንኣድኣክእምኣልኧንእ
የድቧ ይኧድእቧ
ከኤፌዲሪ ክኧእኤፍኤድኢርኢ
ከምንማርካችሁ ክኧምእንእምኣርእክኣችእህኡ
ንጽህናህን ንእጽእህእንኣህእንእ
እንዲመጣላት እእንእድኢምኧጥኣልኣትእ
ሰብረሀው ስኧብእርኧህኧውእ
እየተፈናቀሉ እእይኧትኧፍኧንኣቅኧልኡ
ወገኖች ውኧግኧንኦችእ
እንደሰበርኳቸው እእንእድኧስኧብኧርእኳችኧውእ
ባላችሁት ብኣልኣችእህኡትእ
ማርከናቸው ምኣርእክኧንኣችኧውእ
ብሰባብርሽ ብእስኧብኣብእርእሽእ
ማርኬላችሁ ምኣርእክኤልኣችእህኡ
መገኘቱንም ምኧግኧኝኧትኡንእምእ
ጓንት ጓንእትእ
ስላለውና ስእልኣልኧውእንኣ
አይሰናከሉም እኧይእስኧንኣክኧልኡምእ
እስከምማርከው እእስእክኧምእምኣርእክኧውእ
እስክትሰብሯት እእስእክእትእስኧብእሯትእ
በቅርሶች ብኧቅእርእስኦችእ
እንስበር እእንእስእብኧርእ
የሚበረብር ይኧምኢብኧርኧብእርእ
ኣልሰብርሽ እኣልእስኧብእርእሽእ
ያመላለሱት ይኣምኧልኣልኧስኡትእ
ሰበርሽባቸው ስኧብኧርእሽእብኣችኧውእ
እንደሚያቋርጡ እእንእድኧምኢይኣቋርእጥኡ
ማረከንብሽ ምኣርኧክኧንእብእሽእ
ማርከለት ምኣርእክኧልኧትእ
አካማሌ እኧክኣምኣልኤ
በሚጥሱ ብኧምኢጥእስኡ
የሀይለማሪያም ይኧህኧይእልኧምኣርኢይኣምእ
መማልን ምኧምኣልእንእ
በከተማውና ብኧክኧትኧምኣውእንኣ
ማርክልህ ምኣርእክእልእህእ
ማረከለት ምኣርኧክኧልኧትእ
ኣልማረኳቸው እኣልእምኣርኧኳችኧውእ
ኮንጎዎቹ ክኦንእግኦውኦችኡ
ጎናችንስ ግኦንኣችእንእስእ
ሰብሬያቸው ስኧብእርኤይኣችኧውእ
ከምትሰብረው ክኧምእትእስኧብእርኧውእ
